customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7590-VHVEG,Female,0,Yes,No,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.11542288557213931,0.0034370394252026537,No
5575-GNVDE,Male,0,No,No,0.4722222222222222,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,0.3850746268656716,0.21756401989683127,No
3668-QPYBK,Male,0,No,No,0.027777777777777776,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0.35422885572139307,0.012452791083271925,Yes
7795-CFOCW,Male,0,No,No,0.625,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),0.23930348258706463,0.21195076455416362,No
9237-HQITU,Female,0,No,No,0.027777777777777776,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5218905472636816,0.017461542004421522,Yes
9305-CDSKC,Female,0,No,No,0.1111111111111111,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8099502487562189,0.09447540530582167,Yes
1452-KIOVK,Male,0,No,Yes,0.3055555555555555,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.7049751243781094,0.22446112748710395,No
6713-OKOMC,Female,0,No,No,0.1388888888888889,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.11442786069651739,0.03476188282977156,No
7892-POOKP,Female,0,Yes,No,0.38888888888888884,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8611940298507462,0.3507334653647753,Yes
6388-TABGU,Male,0,No,Yes,0.861111111111111,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),0.3771144278606965,0.40161546610169496,No
9763-GRSKD,Male,0,Yes,Yes,0.18055555555555555,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.3154228855721393,0.0676411661753869,No
7469-LKBCI,Male,0,No,No,0.2222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.006965174129353213,0.03762896094325719,No
8091-TTVAX,Male,0,Yes,No,0.8055555555555555,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.8169154228855721,0.6541428703021372,No
0280-XJGEX,Male,0,No,No,0.6805555555555555,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8502487562189055,0.5798982129697864,Yes
5129-JLPIS,Male,0,No,No,0.3472222222222222,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.8681592039800995,0.3092817336035373,No
3655-SNQYZ,Female,0,Yes,Yes,0.9583333333333333,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.945273631840796,0.9090767778187179,No
8191-XWSZG,Female,0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.023880597014925342,0.11778624723655123,No
9959-WOFKT,Male,0,No,Yes,0.986111111111111,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),0.8800995024875623,0.8500195744288874,No
4190-MFLUW,Female,0,Yes,Yes,0.1388888888888889,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),0.36766169154228856,0.06083617354458365,Yes
4183-MYFRB,Female,0,No,No,0.29166666666666663,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.7144278606965173,0.21450119749447313,No
8779-QRDMV,Male,1,No,No,0.013888888888888888,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.21293532338308457,0.004565447678703022,Yes
1680-VDCWW,Male,0,Yes,No,0.16666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.015422885572139305,0.0232878131908622,No
1066-JKSGK,Male,0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.018905472636815884,0.002320145541635962,Yes
3638-WEABW,Female,0,Yes,No,0.8055555555555555,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),0.4144278606965174,0.4035901805453206,No
6322-HRPFA,Male,0,Yes,Yes,0.6805555555555555,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0.4114427860696518,0.3420113301400148,No
6865-JZNKO,Female,0,No,No,0.41666666666666663,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3686567164179104,0.1762389462048637,No
6467-CHFZW,Male,0,Yes,Yes,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8069651741293532,0.5468346997052321,Yes
8665-UTDHZ,Male,0,Yes,Yes,0.013888888888888888,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.11890547263681589,0.0034773397199705236,Yes
5248-YGIJN,Male,0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.7164179104477612,0.7334020357406044,No
8773-HHUOZ,Female,0,No,Yes,0.2361111111111111,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.4621890547263682,0.1258635777450258,Yes
3841-NFECX,Female,1,Yes,No,0.986111111111111,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.7771144278606964,0.7791716562269714,No
4929-XIHVW,Male,1,Yes,No,0.027777777777777776,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.7686567164179104,0.02091585298452469,No
