customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
4223-BKEOR,Female,0,No,Yes,0.29166666666666663,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,0.46368159203980097,0.1539240972733972
6035-RIIOM,Female,0,No,No,0.75,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.7855721393034826,0.5906238485630066
3797-VTIDR,Male,0,Yes,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.05174129353233828,0.0027001197494473106
2568-BRGYX,Male,0,No,No,0.05555555555555555,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5169154228855721,0.02739844325718497
2775-SEFEE,Male,0,No,Yes,0.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),0.4343283582089552,0.0
4291-SHSBH,Male,0,No,No,0.09722222222222221,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5104477611940298,0.060030167649226245
4635-EJYPD,Male,0,Yes,Yes,0.4444444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.006965174129353213,0.07069247420781137
2607-DHDAK,Male,0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.015422885572139305,0.16288803426676496
5204-QZXPU,Male,0,No,No,0.2638888888888889,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.21293532338308457,0.08444063190862197
0221-NAUXK,Male,0,No,Yes,0.1388888888888889,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),0.01691542288557213,0.025274042004421522
3398-ZOUAA,Male,1,Yes,No,0.29166666666666663,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5059701492537313,0.16980817059690495
1768-HNVGJ,Female,1,No,No,0.625,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,0.5154228855721392,0.35262182203389836
5917-RYRMG,Male,1,No,No,0.4444444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0.015422885572139305,0.06766995210022109
3858-XHYJO,Female,0,Yes,No,0.5555555555555556,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),0.8706467661691543,0.48689088983050854
4837-PZTIC,Female,0,No,No,0.6527777777777778,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,0.23532338308457706,0.21592322218128226
2773-MADBQ,Female,0,No,No,0.5,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,0.34676616915422886,0.21891695836403835
1090-PYKCI,Female,0,Yes,Yes,0.9583333333333333,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),0.8641791044776118,0.8330416359616803
9479-HYNYL,Female,0,Yes,No,0.986111111111111,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6213930348258706,0.6569005619012529
4565-NLZBV,Female,0,Yes,No,0.986111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.06368159203980098,0.19691299742078117
8318-LCNBW,Male,0,Yes,No,0.4861111111111111,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),0.3472636815920398,0.22233096904937366
9261-WDCAF,Male,0,No,No,0.041666666666666664,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,0.3621890547263681,0.021773673544583642
4909-JOUPP,Male,1,Yes,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),0.9099502487562189,0.9094567520265292
1951-IEYXM,Male,0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.7199004975124377,0.7417384395725868
4227-OJHAL,Female,0,Yes,Yes,0.9444444444444444,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),0.5447761194029851,0.5944869196757554
1708-PBBOA,Female,0,No,No,0.5833333333333333,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,0.36318407960199006,0.2704092207074429
8746-BFOAJ,Male,1,No,No,0.29166666666666663,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.02238805970149252,0.04945997605011054
4145-UQXUQ,Female,1,No,No,0.1111111111111111,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7348258706467661,0.08404914333087696
9518-XXBXE,Male,1,Yes,No,0.1388888888888889,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0.5676616915422885,0.08295527818717761
9558-IHEZX,Female,0,No,No,0.986111111111111,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),0.8805970149253731,0.8386203481945469
1707-HABPF,Female,1,No,No,0.6388888888888888,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),0.726865671641791,0.4751232037582905
9643-AVVWI,Female,0,Yes,Yes,0.041666666666666664,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,0.6144278606965173,0.027784174649963158
3398-FSHON,Female,1,No,No,0.16666666666666666,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.726865671641791,0.1260247789240973
9139-TWBAS,Female,0,Yes,No,0.3611111111111111,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.2945273631840796,0.13707857406042742
0929-HYQEW,Male,0,No,No,0.041666666666666664,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.31741293532338305,0.018520864038319824
0487-CRLZF,Female,0,No,No,0.6805555555555555,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.5592039800995025,0.4285533345615329
0454-OKRCT,Male,0,No,No,0.4583333333333333,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.6203980099502486,0.30525746131171705
2347-WKKAE,Male,0,Yes,No,0.5833333333333333,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.7577114427860697,0.4622558953574061
6663-JOCQO,Male,0,Yes,Yes,0.4305555555555555,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),0.5671641791044776,0.2699544030950627
1297-VQDRP,Male,1,Yes,Yes,0.9444444444444444,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),0.8845771144278608,0.8497374723655123
4868-AADLV,Male,1,Yes,Yes,0.9166666666666666,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0.9751243781094526,0.9052885501105381
0788-DXBFY,Male,0,Yes,Yes,0.8055555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0.012935323383084563,0.12767133382461313
